-57.552, 14.744, 100
-55.622, 15.266, 100
-53.691, 15.788, 100
-51.76, 16.309, 100
-49.83, 16.831, 100
-47.899, 17.353, 100
-45.968, 17.875, 100
-44.037, 18.397, 100
-42.107, 18.918, 100
-40.176, 19.44, 100
-38.245, 19.962, 100
-36.314, 20.484, 100
-34.384, 21.006, 100
-32.453, 21.528, 100
-30.522, 22.049, 100
-28.592, 22.571, 100
-26.661, 23.093, 100
-24.73, 23.615, 97.439
-24.426, 25.409, 95.038
-24.384, 27.408, 92.326
-24.342, 29.408, 89.533
-24.301, 31.408, 86.65
-24.259, 33.407, 83.667
-24.217, 35.407, 80.574
-24.176, 37.406, 77.357
-24.134, 39.406, 74.001
-24.092, 41.405, 70.485
-24.051, 43.405, 66.784
-24.009, 45.405, 62.866
-23.968, 47.404, 58.687
-23.926, 49.404, 54.186
-23.884, 51.403, 49.276
-23.857, 53.403, 43.82
-23.877, 55.403, 37.58
-24, 57.398, 30.073
-24.472, 59.327, 20
-25.961, 58.925, 58.093
-26.965, 57.199, 88.94
-27.804, 55.384, 95.685
-28.568, 53.536, 97.074
-29.29, 51.671, 97.944
-29.984, 49.795, 98.52
-30.657, 47.912, 98.918
-31.316, 46.023, 99.205
-31.964, 44.131, 99.419
-32.603, 42.236, 99.585
-33.236, 40.339, 99.585
-33.862, 38.44, 99.717
-34.486, 36.539, 99.827
-35.106, 34.638, 99.921
-35.726, 32.736, 99.921
-36.343, 30.834, 99.995
-36.961, 28.932, 99.917
-37.579, 27.03, 99.842
-38.198, 25.128, 99.842
-38.819, 23.227, 99.766
-39.443, 21.326, 99.687
-40.069, 19.427, 99.687
-40.699, 17.529, 99.601
-41.334, 15.632, 99.506
-41.972, 13.737, 99.506
-42.619, 11.844, 99.397
-43.271, 9.954, 99.268
-43.931, 8.066, 99.112
-44.6, 6.181, 99.112
-45.281, 4.3, 98.921
-45.973, 2.424, 98.679
-46.677, 0.552, 98.367
-47.397, -1.314, 98.367
-48.14, -3.171, 97.954
-48.906, -5.018, 97.395
-49.424, -6.89, 100
-49.087, -8.861, 100
-48.75, -10.833, 100
-48.414, -12.804, 100
-48.077, -14.775, 100
-47.741, -16.747, 100
-47.344, -18.66, 100
-45.382, -19.052, 100
-43.421, -19.444, 100
-41.46, -19.836, 100
-39.499, -20.229, 100
-37.538, -20.621, 100
-35.577, -21.013, 100
-33.615, -21.405, 100
-31.654, -21.797, 100
-29.693, -22.19, 100
-27.732, -22.582, 100
-25.771, -22.974, 100
-24.958, -24.386, 100
-24.8, -26.38, 100
-24.643, -28.373, 100
-24.485, -30.367, 100
-24.328, -32.361, 100
-24.171, -34.355, 100
-24.013, -36.349, 100
-23.856, -38.342, 100
-23.698, -40.336, 98.218
-23.541, -42.33, 95.597
-23.384, -44.324, 92.902
-23.225, -46.317, 90.126
-23.041, -47.68, 88.168
-23.106, -45.681, 99.22
-23.194, -43.683, 99.65
-23.287, -41.685, 99.821
-23.383, -39.687, 99.869
-23.481, -37.689, 98.464
-23.58, -35.692, 95.85
-23.68, -33.694, 93.162
-23.781, -31.697, 90.394
-23.882, -29.699, 87.54
-23.982, -27.702, 84.588
-24.083, -25.705, 81.53
-24.184, -23.707, 78.353
-24.284, -21.71, 75.041
-24.385, -19.712, 71.576
-24.484, -17.715, 67.935
-24.584, -15.717, 64.087
-24.683, -13.72, 59.993
-24.781, -11.722, 55.598
-24.878, -9.724, 50.825
-24.974, -7.727, 45.554
-25.07, -5.729, 39.587
-25.164, -3.731, 32.545
-25.257, -1.733, 23.477
-25.356, 0.434, 0
-25.356, 0.434, 0
-26.269, 20.414, 0
endData
127
100
200
-57.552, 14.744, -41.007, 19.216, -41.007, 19.216, -24.462, 23.687
-24.462, 23.687, -24.163, 37.997, -24.163, 37.997, -23.865, 52.306
-23.865, 52.306, -23.269, 80.926, -38.175, 19.514, -49.503, -6.422
-49.503, -6.422, -48.46, -12.534, -48.46, -12.534, -47.417, -18.645
-47.417, -18.645, -36.237, -20.881, -36.237, -20.881, -25.058, -23.117
-25.058, -23.117, -24.163, -34.445, -24.163, -34.445, -23.269, -45.774
-23.269, -45.774, -22.375, -57.102, -24.313, -22.67, -25.356, 0.434
